id,number,side,move,fen
22991,73,white,Qd5,8pp3ppk7p3Q46P11P2PNK1P1q4P5b2
22992,74,black,Qc7+,8ppq2ppk7p3Q46P11P2PNK1P6P5b2
22993,75,white,Kf2,8ppq2ppk7p3Q46P11P2PN2P4K1P5b2
22994,76,black,Ba6,8ppq2ppkb6p3Q46P11P2PN2P4K1P8
22995,77,white,Qe4+,8ppq2ppkb6p84Q1P11P2PN2P4K1P8
22996,78,black,Kg8,6k1ppq2pp1b6p84Q1P11P2PN2P4K1P8
22997,79,white,Qe8+,4Q1k1ppq2pp1b6p86P11P2PN2P4K1P8
22998,80,black,Kh7,4Q3ppq2ppkb6p86P11P2PN2P4K1P8
22999,81,white,Qe4+,8ppq2ppkb6p84Q1P11P2PN2P4K1P8
23000,82,black,g6,8ppq2p1kb5pp84Q1P11P2PN2P4K1P8
23001,83,white,h4,8ppq2p1kb5pp84Q1PP1P2PN2P4K28
23002,1,white,d4,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR
23003,2,black,d5,rnbqkbnrppp1pppp83p43P48PPP1PPPPRNBQKBNR
23004,3,white,Nf3,rnbqkbnrppp1pppp83p43P45N2PPP1PPPPRNBQKB1R
23005,4,black,Nf6,rnbqkb1rppp1pppp5n23p43P45N2PPP1PPPPRNBQKB1R
23006,5,white,c4,rnbqkb1rppp1pppp5n23p42PP45N2PP2PPPPRNBQKB1R
23007,6,black,dxc4,rnbqkb1rppp1pppp5n282pP45N2PP2PPPPRNBQKB1R
23008,7,white,Qa4+,rnbqkb1rppp1pppp5n28Q1pP45N2PP2PPPPRNB1KB1R
23009,8,black,c6,rnbqkb1rpp2pppp2p2n28Q1pP45N2PP2PPPPRNB1KB1R
23010,9,white,Qxc4,rnbqkb1rpp2pppp2p2n282QP45N2PP2PPPPRNB1KB1R
23011,10,black,Bf5,rn1qkb1rpp2pppp2p2n25b22QP45N2PP2PPPPRNB1KB1R
23012,11,white,Nc3,rn1qkb1rpp2pppp2p2n25b22QP42N2N2PP2PPPPR1B1KB1R
23013,12,black,e6,rn1qkb1rpp3ppp2p1pn25b22QP42N2N2PP2PPPPR1B1KB1R
23014,13,white,g3,rn1qkb1rpp3ppp2p1pn25b22QP42N2NP1PP2PP1PR1B1KB1R
23015,14,black,Nbd7,r2qkb1rpp1n1ppp2p1pn25b22QP42N2NP1PP2PP1PR1B1KB1R
23016,15,white,Bg2,r2qkb1rpp1n1ppp2p1pn25b22QP42N2NP1PP2PPBPR1B1K2R
23017,16,black,Bc2,r2qkb1rpp1n1ppp2p1pn282QP42N2NP1PPb1PPBPR1B1K2R
